year,language,count
2015,python,149
2015,javascript,272
2015,java,272
2015,c++,102
2015,c#,161
2015,php,207
2015,html,158
2015,css,116
2016,python,183
2016,javascript,304
2016,java,243
2016,c++,99
2016,c#,168
2016,php,240
2016,html,152
2016,css,102
2017,python,230
2017,javascript,314
2017,java,208
2017,c++,116
2017,c#,140
2017,php,204
2017,html,166
2017,css,116
2018,python,320
2018,javascript,323
2018,java,183
2018,c++,79
2018,c#,130
2018,php,166
2018,html,140
2018,css,88
2019,python,307
2019,javascript,293
2019,java,185
2019,c++,70
2019,c#,143
2019,php,137
2019,html,146
2019,css,97
2020,python,355
2020,javascript,286
2020,java,161
2020,c++,67
2020,c#,121
2020,php,118
2020,html,134
2020,css,88
2021,python,444
2021,javascript,323
2021,java,128
2021,c++,87
2021,c#,101
2021,php,100
2021,html,134
2021,css,98
2022,python,453
2022,javascript,301
2022,java,121
2022,c++,85
2022,c#,99
2022,php,78
2022,html,133
2022,css,103
2023,python,416
2023,javascript,282
2023,java,131
2023,c++,80
2023,c#,112
2023,php,64
2023,html,102
2023,css,77
2024,python,343
2024,javascript,224
2024,java,118
2024,c++,71
2024,c#,117
2024,php,55
2024,html,103
2024,css,82
